INFO 2021-09-24 20:18:36,601 autoreload 636 Watching for file changes with StatReloader
INFO 2021-09-24 20:19:03,374 basehttp 161 "GET / HTTP/1.1" 200 10697
INFO 2021-09-24 20:19:03,415 basehttp 161 "GET /static/admin/css/fonts.css HTTP/1.1" 304 0
INFO 2021-09-24 20:19:03,531 basehttp 161 "GET /static/admin/fonts/Roboto-Bold-webfont.woff HTTP/1.1" 304 0
INFO 2021-09-24 20:19:03,533 basehttp 161 "GET /static/admin/fonts/Roboto-Regular-webfont.woff HTTP/1.1" 304 0
INFO 2021-09-24 20:19:03,535 basehttp 161 "GET /static/admin/fonts/Roboto-Light-webfont.woff HTTP/1.1" 304 0
WARNING 2021-09-24 20:19:03,749 log 224 Not Found: /favicon.ico
WARNING 2021-09-24 20:19:03,750 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 1999
INFO 2021-09-24 20:21:39,847 autoreload 636 Watching for file changes with StatReloader
INFO 2021-09-24 20:21:47,333 basehttp 161 "GET / HTTP/1.1" 200 18
INFO 2021-09-24 20:27:34,024 autoreload 636 Watching for file changes with StatReloader
INFO 2021-09-24 20:27:35,627 basehttp 161 "GET / HTTP/1.1" 200 18
WARNING 2021-09-24 20:27:35,696 log 224 Not Found: /favicon.ico
WARNING 2021-09-24 20:27:35,696 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2099
WARNING 2021-09-24 20:27:40,676 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-24 20:28:20,113 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
INFO 2021-09-25 14:56:34,045 autoreload 636 Watching for file changes with StatReloader
INFO 2021-09-25 14:56:54,968 basehttp 161 "GET / HTTP/1.1" 200 18
WARNING 2021-09-25 14:56:55,216 log 224 Not Found: /favicon.ico
WARNING 2021-09-25 14:56:55,217 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2099
WARNING 2021-09-25 14:57:14,719 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:57:36,489 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:57:36,593 log 224 Not Found: /favicon.ico
WARNING 2021-09-25 14:57:36,594 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2099
WARNING 2021-09-25 14:57:41,187 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:57:52,489 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:57:52,637 log 224 Not Found: /favicon.ico
WARNING 2021-09-25 14:57:52,639 basehttp 161 "GET /favicon.ico HTTP/1.1" 404 2099
WARNING 2021-09-25 14:57:54,481 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:58:51,771 basehttp 161 "GET /static/index.html HTTP/1.1" 404 1658
WARNING 2021-09-25 14:59:24,842 log 224 Not Found: /calmlog/index.html
WARNING 2021-09-25 14:59:24,842 basehttp 161 "GET /calmlog/index.html HTTP/1.1" 404 2120
INFO 2021-09-25 14:59:50,829 basehttp 161 "GET /static/calmlog-index.html HTTP/1.1" 200 16424
INFO 2021-09-25 14:59:50,882 basehttp 161 "GET /static/highlight/styles/railscasts.css HTTP/1.1" 200 1317
INFO 2021-09-25 14:59:50,899 basehttp 161 "GET /static/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140942
INFO 2021-09-25 14:59:50,916 basehttp 161 "GET /static/img/logo.jpg HTTP/1.1" 200 5903
INFO 2021-09-25 14:59:50,930 basehttp 161 "GET /static/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31004
